_id,_pct_missed,_judgments,_hidden,_contention,_pct_contested,_gold_pool,_review_state,_added_by,_created_at,_please_select_the_event_type,_copy_the_company_name_from_the_text,_select_the_fiscal_period_check_as_many_as_it_applies,_select_fiscal_year,_enter_date_here_mmddyyyy,_enter_time_here_hhmm_pmam,_select_timezone,please_select_the_event_type_gold,please_select_the_event_type_gold_reason,copy_the_company_name_from_the_text_gold,copy_the_company_name_from_the_text_gold_reason,select_the_fiscal_period_check_as_many_as_it_applies_gold,select_the_fiscal_period_check_as_many_as_it_applies_gold_reason,select_fiscal_year_gold,select_fiscal_year_gold_reason,enter_date_here_mmddyyyy_gold,enter_date_here_mmddyyyy_gold_reason,enter_time_here_hhmm_pmam_gold,enter_time_here_hhmm_pmam_gold_reason,select_timezone_gold,select_timezone_gold_reason,id,event_text,url,url_id
3085622915,0.00,0,false,"",0,,,created,7/22/2021 07:09:13,"","","","","","","",Sales_Results,results,NONE,no companies are listed,"Quarter 4/Q4
Annual/Yearly",4th quarter and full-year,2019,2019,02/04/2020,04 Feb 2020,,"",None,No time shown,1283,04 Feb 2020	Group results for 4th quarter and full-year 2019,http://corporate.ferrari.com/en/investors/events-and-presentations/financial-corporate-calendar,323
3085622985,0.00,0,false,"",0,,,created,7/22/2021 07:12:12,"","","","","","","",Conference,Benzinga Global Small Cap Conference,NONE,"No companies are listed, only the conference holder",None/Other,Not listed,None,Not listed,05/14/2021,"MAY 14, 2021",11:55 AM,11:55 AM,EDT/EST/ET,EDT,1301,"MAY 14, 2021 11:55 AM EDT Benzinga Global Small Cap Conference",https://ir.virios.com/events-presentations/events,327
3085623045,0.00,0,false,"",0,,,created,7/22/2021 07:13:37,"","","","","","","",Shareholder_Meeting,Meeting of Shareholders,The PNC Financial Services Group,The PNC Financial Services Group,Annual/Yearly,Annual,2021,2021,04/27/2021,"April 27, 2021",11:00 am,11:00 am,EDT/EST/ET,EDT,56,"The PNC Financial Services Group 2021 Annual Meeting of Shareholders Tuesday, April 27, 2021 11:00 am EDT",https://thepncfinancialservicesgroupinc.gcs-web.com/events-and-presentations,14
3085623094,0.00,0,false,"",0,,,created,7/22/2021 07:15:07,"","","","","","","",Shareholder_Meeting,Meeting of Stockholders,NONE,no companies are listed,Annual/Yearly,Annual,2021,2021,06/07/2021,"JUN 7, 2021",10:00 AM,10:00 AM,EDT/EST/ET,EDT,1066,"JUN 7, 2021 10:00 AM EDT 2021 Annual Meeting of Stockholders",https://investor.lovesac.com/news-and-events/presentations,267
3085623141,0.00,0,false,"",0,,,created,7/22/2021 07:16:50,"","","","","","","",Earnings_Release,EARNINGS,HOOKER FURNITURE CORP.,HOOKER FURNITURE CORP.,Quarter 1/Q1,FIRST QUARTER,2022,2022,06/04/2021,"Jun 4, 2021",9:00 AM,at 9:00 AM,EDT/EST/ET,EDT,1351,"Jun 4, 2021 at 9:00 AM EDT HOOKER FURNITURE CORP. FIRST QUARTER 2022 EARNINGS WEBCAST Listen to webcast",https://investors.hookerfurniture.com/events,339
3085623234,0.00,0,false,"",0,,,created,7/22/2021 07:19:50,"","","","","","","",Conference,Global Healthcare Conference,"Eargo, Inc.
Eargo","Eargo, Inc.",None/Other,Not listed,None,Not listed,05/24/2021,"May 24, 2021",11:00 AM,at 11:00 AM,EDT/EST/ET,EDT,1589,"May 24, 2021 at 11:00 AM EDT Eargo, Inc. at the UBS 2021 Global Healthcare Conference Click here for webcast",https://ir.eargo.com/news-and-events/events-and-presentations,395
3085623767,0.00,0,false,"",0,,,created,7/22/2021 07:40:03,"","","","","","","",Shareholder_Meeting,Meeting of Stockholders,NONE,no companies are listed,Annual/Yearly,Annual,2021,2021,07/20/2021,"Jul 20, 2021","10:00 am
10:00 AM",10:00 AM,EDT/EST/ET,EDT,308,"2021 Annual Meeting of Stockholders Jul 20, 2021 • 10:00 am EDT",https://ir.id-systems.com/company-information/presentations,74
3085623937,0.00,0,false,"",0,,,created,7/22/2021 07:43:49,"","","","","","","",Earnings_Call,Earnings Conference Call,"O’Reilly Automotive, Inc.
O’Reilly Automotive","O’Reilly Automotive, Inc.",Quarter 3/Q3,3rd Quarter,2020,2020,10/29/2020,"OCTOBER 29, 2020",,"",None,No time shown,1855,"O’Reilly Automotive, Inc. 3rd Quarter 2020 Earnings Conference Call	OCTOBER 29, 2020",https://corporate.oreillyauto.com/investor-relations-news-room,462
3085624076,0.00,0,false,"",0,,,created,7/22/2021 07:47:21,"","","","","","","",Earnings_Release,"If 'release' and 'call' are both mentioned in the text, please select ""Earnings Release"" as the event type.",Vantage Drilling International,Vantage Drilling International,Quarter 3/Q3,Third Quarter,2020,2020,11/02/2020,"November 2, 2020",,"",None,No time shown,1376,"Vantage Drilling International Schedules Third Quarter 2020 Earnings Release Date and Conference Call On November 2, 2020",http://vantagedrilling.com/investor-relations/presentations/,345
3085626809,0.00,0,false,"",0,,,created,7/22/2021 07:49:19,"","","","","","","",Conference,Bank of America Securities 2021 Insurance Conference,Selective,Selective to Speak at (conference),None/Other,Not listed,None,Not listed,02/11/2021,"Feb 11, 2021",,"",None,No time shown,1660,"Feb 11, 2021	Selective to Speak at the Bank of America Securities 2021 Insurance Conference",https://www.selective.com/investors/financial-calendar,410
3085627030,0.00,0,false,"",0,,,created,7/22/2021 07:54:24,"","","","","","","",Earnings_Call,Earnings Conference Call,Compass Diversified ,Compass Diversified,Quarter 3/Q3,Q3,2020,2020,10/28/2020,"OCTOBER 28, 2020",5:00 PM,05:00 PM EDT,EDT/EST/ET,EDT,1656,"OCTOBER 28, 2020 05:00 PM EDT Compass Diversified Q3 2020 Earnings Conference Call WEBCAST",https://ir.compassdiversified.com/events-and-presentations/default.aspx,409
3085627059,0.00,0,false,"",0,,,created,7/22/2021 07:55:20,"","","","","","","",Earnings_Release,Earnings Release,NONE,no companies are listed,Quarter 1/Q1,1Q21,2021,1Q21,05/12/2021,05-12-2021,,"",None,No time shown,1564,05-12-2021	1Q21 Earnings Release and Webcast,https://www.arcosdorados.com/ir/,389
3085627094,0.00,0,false,"",0,,,created,7/22/2021 07:56:27,"","","","","","","",Sales_Results,Financial Results,iRobot Corp,iRobot Corp,Quarter 2/Q2,Q2,2021,2021,07/28/2021,07/28/21,,"",None,No time shown,1598,07/28/21	 Q2 2021 iRobot Corp Financial Results Press Release,https://investor.irobot.com/events-and-presentations/upcoming-events,397
3085627154,0.00,0,false,"",0,,,created,7/22/2021 07:58:01,"","","","","","","",Conference,JMP Securities Life Sciences Conference,NONE,"No companies are listed, only the conference holder",None/Other,Not listed,None,Not listed,06/16/2021,"Jun 16, 2021",10:00 AM,10:00 AM,EDT/EST/ET,EDT,1981,"Jun 16, 2021 10:00 AM EDT	 JMP Securities Life Sciences Conference Listen to webcast",http://ir.minervaneurosciences.com/events-and-presentations,492
3085627297,0.00,0,false,"",0,,,created,7/22/2021 08:01:57,"","","","","","","",Other,Vaccine Forum,NONE,"No companies are listed, only the forum holder",None/Other,Not listed,None,Not listed,06/21/2021,"June 21, 2021",10:00 AM,at 10:00 AM,Other,"CEST, not the same as EST or CST",379,"June 21, 2021 at 10:00 AM CEST  SVB Leerink CybeRx Series: Vaccine Forum",https://investors.biontech.de/events-and-presentations,93
